"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-06",,,"31.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-07",,,"29.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-08",,,"27.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-09",,,"28.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-10",,,"26.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-11",,,"26.4","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-12",,,"26.4","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-13",,,"27.1","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-14",,,"27.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-15",,,"28.1","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-16",,,"29.9","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-17",,,"26.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-18",,,"25.4","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-19",,,"28.7","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-20",,,"29.2","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-21",,,"26.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-22",,,"28.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-23",,,"29.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-24",,,"29.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-25",,,"27.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-26",,,"26.3","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-27",,,"27.6","H,,S",,,,
"BR001957002","CORUMBA, BR","-19.083","-57.5","141.0","2018-02-28",,,"28.9","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-01",,,"24.8","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-02",,,"26.1","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-03",,,"27.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-04",,,"23.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-05",,,"25.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-06",,,"25.1","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-07",,,"24.9","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-08",,,"25.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-09",,,"26.1","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-10",,,"26.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-11",,,"25.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-12",,,"25.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-13",,,"24.8","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-14",,,"25.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-15",,,"26.7","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-16",,,"27.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-17",,,"26.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-18",,,"25.9","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-19",,,"27.0","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-20",,,"27.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-21",,,"27.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-22",,,"26.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-23",,,"27.0","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-24",,,"27.8","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-25",,,"26.6","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-26",,,"26.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-27",,,"25.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-28",,,"25.6","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-29",,,"24.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-30",,,"27.1","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-01-31",,,"23.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-01","11.9",",,S","23.0","H,,S",,,"21.0",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-02","0.0",",,S","23.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-03","54.1",",,S","21.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-04","118.1",",,S","19.6","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-05","66.0",",,S","20.8","H,,S",,,"19.2",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-06","20.1",",,S","23.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-07","1.0",",,S","24.6","H,,S",,,"20.8",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-08","0.0",",,S","25.7","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-09","0.3",",,S","24.9","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-10","7.1",",,S","25.6","H,,S",,,"22.0",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-11","0.0",",,S","25.5","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-12",,,"25.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-13",,,"26.2","H,,S",,,"20.7",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-14",,,"25.6","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-15","5.1",",,S","24.7","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-16","0.0",",,S","25.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-17",,,"25.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-18",,,"25.7","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-19",,,"25.8","H,,S",,,"22.0",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-20",,,"25.1","H,,S",,,"22.6",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-21",,,"24.6","H,,S",,,"21.0",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-22","2.0",",,S","23.3","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-23","9.9",",,S","24.7","H,,S",,,"19.0",",,S"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-24","0.0",",,S","25.2","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-25","0.3",",,S","25.3","H,,S",,,"21.6",",,S"
