--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;
83361;24/08/2017;0000;38.4;
83361;25/08/2017;0000;38.1;
83361;26/08/2017;0000;38.4;
83361;27/08/2017;0000;39.2;
83361;28/08/2017;0000;39.8;
83361;29/08/2017;0000;40.7;
83361;30/08/2017;0000;39.7;
83361;31/08/2017;0000;34.9;
83361;01/09/2017;0000;39.9;
83361;02/09/2017;0000;40.1;
83361;03/09/2017;0000;40.1;
83361;04/09/2017;0000;39.1;
83361;05/09/2017;0000;38.8;
83361;06/09/2017;0000;37.2;
83361;07/09/2017;0000;39;
83361;08/09/2017;0000;40.3;
83361;09/09/2017;0000;40.5;
83361;10/09/2017;0000;40;
83361;11/09/2017;0000;39.1;
83361;12/09/2017;0000;37.2;
83361;13/09/2017;0000;40.2;
83361;14/09/2017;0000;40;
83361;15/09/2017;0000;40.2;
83361;16/09/2017;0000;31;
83361;17/09/2017;0000;29.2;
83361;18/09/2017;0000;38.2;
83361;19/09/2017;0000;40;
83361;20/09/2017;0000;41.4;
83361;21/09/2017;0000;39.5;
83361;22/09/2017;0000;38.2;
83361;23/09/2017;0000;38.1;
83361;24/09/2017;0000;38.3;
83361;25/09/2017;0000;39.9;
83361;26/09/2017;0000;36.1;
83361;27/09/2017;0000;33.1;
83361;28/09/2017;0000;34.3;
83361;29/09/2017;0000;29.3;
83361;30/09/2017;0000;35.4;
83361;01/10/2017;0000;36.1;
83361;02/10/2017;0000;31.6;
83361;03/10/2017;0000;29.8;
83361;04/10/2017;0000;33.4;
83361;05/10/2017;0000;39.1;
83361;06/10/2017;0000;39.5;
83361;07/10/2017;0000;32.4;
83361;08/10/2017;0000;39.4;
83361;09/10/2017;0000;39;
83361;10/10/2017;0000;39.5;
83361;11/10/2017;0000;40;
83361;12/10/2017;0000;39.6;
83361;13/10/2017;0000;39.1;
83361;14/10/2017;0000;26;
83361;15/10/2017;0000;32.6;
83361;16/10/2017;0000;38.3;
83361;17/10/2017;0000;36.9;
83361;18/10/2017;0000;40.5;
83361;19/10/2017;0000;39.7;
83361;20/10/2017;0000;31.3;
83361;21/10/2017;0000;36.4;
83361;22/10/2017;0000;28.3;
83361;23/10/2017;0000;29.2;
83361;24/10/2017;0000;34.7;
83361;25/10/2017;0000;37.4;
83361;26/10/2017;0000;39;
83361;27/10/2017;0000;35;
83361;28/10/2017;0000;35.6;
83361;29/10/2017;0000;34.9;
83361;30/10/2017;0000;36.2;
83361;31/10/2017;0000;33.3;
83361;01/11/2017;0000;34.4;
83361;02/11/2017;0000;37.6;
83361;03/11/2017;0000;37.1;
83361;04/11/2017;0000;37.6;
83361;05/11/2017;0000;36.2;
83361;06/11/2017;0000;35.1;
83361;08/11/2017;0000;34.5;
83361;09/11/2017;0000;35.3;
83361;10/11/2017;0000;37.2;
83361;11/11/2017;0000;30.4;
83361;12/11/2017;0000;32.6;
83361;13/11/2017;0000;36.7;
83361;14/11/2017;0000;37.5;
83361;15/11/2017;0000;37.3;
83361;16/11/2017;0000;36.4;
