--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;
82886;13/10/2017;1200;0;
82886;14/10/2017;1200;0;
82886;15/10/2017;1200;0;
82886;16/10/2017;1200;0;
82886;17/10/2017;1200;0;
82886;18/10/2017;1200;0;
82886;19/10/2017;1200;0.3;
82886;20/10/2017;1200;0;
82886;21/10/2017;1200;0;
82886;22/10/2017;1200;0;
82886;23/10/2017;1200;0;
82886;24/10/2017;1200;0;
82886;25/10/2017;1200;0;
82886;26/10/2017;1200;0;
82886;27/10/2017;1200;0;
82886;28/10/2017;1200;0;
82886;29/10/2017;1200;0;
82886;30/10/2017;1200;0;
82886;31/10/2017;1200;0;
82886;01/11/2017;1200;1.2;
82886;02/11/2017;1200;3;
82886;03/11/2017;1200;0;
82886;04/11/2017;1200;0;
82886;05/11/2017;1200;0;
82886;06/11/2017;1200;0;
82886;07/11/2017;1200;0;
82886;08/11/2017;1200;0;
82886;09/11/2017;1200;2.2;
82886;10/11/2017;1200;0;
82886;11/11/2017;1200;0;
82886;12/11/2017;1200;0;
82886;13/11/2017;1200;0;
82886;14/11/2017;1200;1.8;
82886;15/11/2017;1200;0.1;
82886;16/11/2017;1200;0;
82886;17/11/2017;1200;0;
82886;18/11/2017;1200;0;
82886;19/11/2017;1200;0;
82886;20/11/2017;1200;0;
82886;21/11/2017;1200;0;
82886;22/11/2017;1200;0;
82886;23/11/2017;1200;0;
82886;24/11/2017;1200;0;
82886;25/11/2017;1200;0;
82886;26/11/2017;1200;0;
82886;27/11/2017;1200;0;
82886;28/11/2017;1200;0;
82886;29/11/2017;1200;0;
82886;30/11/2017;1200;0;
82886;01/12/2017;1200;0.4;
82886;02/12/2017;1200;0;
82886;03/12/2017;1200;0;
82886;04/12/2017;1200;0;
82886;05/12/2017;1200;0;
82886;06/12/2017;1200;0;
82886;07/12/2017;1200;0;
82886;08/12/2017;1200;0;
82886;09/12/2017;1200;0;
82886;10/12/2017;1200;0;
82886;11/12/2017;1200;4.4;
82886;12/12/2017;1200;0;
