--------------------
BDMEP - INMET
--------------------
Estação           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Estação Operante
Inicio de operação: 01/02/1973
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82890;24/06/2000;0000;;26.6;;9.7;;
82890;24/06/2000;1200;0;;18;;;
82890;25/06/2000;0000;;25.6;;6;94;
82890;25/06/2000;1200;0;;17.9;;;
82890;26/06/2000;0000;;23.2;;0;;
82890;26/06/2000;1200;6.5;;18.5;;;
82890;27/06/2000;0000;;26.5;;5.3;;
82890;27/06/2000;1200;4.8;;18;;;
82890;28/06/2000;0000;;24.3;;6.1;;
82890;28/06/2000;1200;0;;17.3;;;
82890;29/06/2000;0000;;24.8;;3;95.75;
82890;29/06/2000;1200;0;;17.3;;;
82890;30/06/2000;0000;;26.6;;10.3;88.25;
82890;30/06/2000;1200;0.4;;17.3;;;
82890;01/07/2000;0000;;21.5;;0;;
82890;01/07/2000;1200;2.3;;18.2;;;
82890;02/07/2000;0000;;24.7;;3.7;;
82890;02/07/2000;1200;12.8;;17.8;;;
82890;03/07/2000;0000;;23.8;;0.9;;
82890;03/07/2000;1200;0;;17.9;;;
82890;04/07/2000;0000;;24.2;;4.7;;
82890;04/07/2000;1200;2.3;;17.5;;;
82890;05/07/2000;0000;;22;;1.4;;
82890;05/07/2000;1200;6;;17.6;;;
82890;06/07/2000;0000;;25.3;;7.6;;
82890;06/07/2000;1200;3.8;;16.5;;;
82890;07/07/2000;0000;;26;;7.4;89.75;
82890;07/07/2000;1200;0;;17.4;;;
82890;08/07/2000;0000;;25;;7.9;;
82890;08/07/2000;1200;0;;17.3;;;
82890;09/07/2000;0000;;25;;4.4;;
82890;09/07/2000;1200;0;;16.8;;;
82890;10/07/2000;0000;;26;;8.3;;
82890;10/07/2000;1200;0;;17.5;;;
82890;11/07/2000;0000;;25.6;;2.2;;
82890;11/07/2000;1200;8.6;;19.1;;;
82890;12/07/2000;0000;;24.6;;5.7;;
82890;12/07/2000;1200;8.9;;17.7;;;
82890;13/07/2000;0000;;26.6;;6.8;;
82890;13/07/2000;1200;0;;16.6;;;
82890;14/07/2000;0000;;24.6;;3.4;;
82890;14/07/2000;1200;2.7;;18.1;;;
82890;15/07/2000;0000;;22.8;;0.6;;
82890;15/07/2000;1200;2.8;;18.1;;;
82890;16/07/2000;0000;;25.2;;5.6;;
82890;16/07/2000;1200;5.1;;18.7;;;
82890;17/07/2000;0000;;29.6;;9.7;;
82890;17/07/2000;1200;0;;17;;;
82890;18/07/2000;0000;;27.2;;10.5;;
82890;18/07/2000;1200;0;;17;;;
82890;19/07/2000;0000;;27;;9.3;;
82890;19/07/2000;1200;0;;18.5;;;
82890;20/07/2000;0000;;26;;5;;
82890;20/07/2000;1200;0;;18.9;;;
82890;21/07/2000;0000;;24.8;;2.5;;
82890;21/07/2000;1200;0;;17.7;;;
82890;22/07/2000;0000;;26.3;;9.8;;
82890;22/07/2000;1200;2.3;;18.4;;;
82890;23/07/2000;0000;;26.4;;6.1;89.25;
82890;23/07/2000;1200;0;;14.5;;;
82890;24/07/2000;0000;;28;;10.8;;
82890;24/07/2000;1200;0.2;;17.9;;;
82890;25/07/2000;0000;;26;;7;;
82890;25/07/2000;1200;0;;18.8;;;
82890;26/07/2000;0000;;24.3;;2.1;;
82890;26/07/2000;1200;0;;18.4;;;
82890;27/07/2000;0000;;25;;3.9;;
82890;27/07/2000;1200;13.1;;17.5;;;
82890;28/07/2000;0000;;25.4;;7.1;;
82890;28/07/2000;1200;0.7;;17;;;
82890;29/07/2000;0000;;24.6;;8.4;;
82890;29/07/2000;1200;0;;16.2;;;
82890;30/07/2000;0000;;22.4;;1.5;;
82890;30/07/2000;1200;0;;17;;;
82890;31/07/2000;0000;;22;;0;;
82890;31/07/2000;1200;3.7;;17;;;
82890;01/08/2000;0000;;21.1;;0;;
82890;01/08/2000;1200;20.8;;17.9;;;
82890;02/08/2000;0000;;23.9;;4.8;;
82890;02/08/2000;1200;10.6;;17.5;;;
82890;03/08/2000;0000;;26;;5.9;;
82890;03/08/2000;1200;0.2;;17.9;;;
82890;04/08/2000;0000;;26.4;;8.7;;
82890;04/08/2000;1200;0;;18.2;;;
82890;05/08/2000;0000;;24.6;;2.7;;
82890;05/08/2000;1200;0;;18.5;;;
82890;06/08/2000;0000;;23.2;;0.4;;
82890;06/08/2000;1200;10.2;;18.3;;;
82890;07/08/2000;0000;;26;;6.8;;
82890;07/08/2000;1200;3.3;;17.9;;;
82890;08/08/2000;0000;;23;;0.9;;
82890;08/08/2000;1200;0;;17.5;;;
82890;09/08/2000;0000;;26;;8.8;;
82890;09/08/2000;1200;20.4;;18.5;;;
82890;10/08/2000;0000;;25.8;;7.5;;
82890;10/08/2000;1200;0;;14.6;;;
82890;11/08/2000;0000;;26.8;;9.1;;
82890;11/08/2000;1200;0.1;;16.8;;;
82890;12/08/2000;0000;;26.9;;10.9;;
82890;12/08/2000;1200;0;;15.7;;;
82890;13/08/2000;0000;;25.8;;10.2;;
82890;13/08/2000;1200;0;;15.5;;;
82890;14/08/2000;0000;;21;;0;;
82890;14/08/2000;1200;8;;18;;;
82890;15/08/2000;0000;;22.6;;2.2;;
82890;15/08/2000;1200;2.1;;15.6;;;
82890;16/08/2000;0000;;24.6;;7;;
82890;16/08/2000;1200;0.9;;15;;;
82890;17/08/2000;0000;;25.6;;10.7;;
82890;17/08/2000;1200;0;;14;;;
82890;18/08/2000;0000;;24.8;;4.7;;
82890;18/08/2000;1200;0.2;;16;;;
82890;19/08/2000;0000;;26.4;;5.5;;
82890;19/08/2000;1200;2.8;;18.4;;;
82890;20/08/2000;0000;;27;;10.6;;
82890;20/08/2000;1200;5.9;;17;;;
82890;21/08/2000;0000;;25.9;;8.9;;
82890;21/08/2000;1200;0;;16.6;;;
82890;22/08/2000;0000;;26.6;;9.4;;
82890;22/08/2000;1200;;;15.4;;;
82890;23/08/2000;0000;;26.8;;9.7;;
82890;23/08/2000;1200;0;;16.4;;;
82890;24/08/2000;0000;;27.4;;8.7;;
82890;24/08/2000;1200;0;;17.9;;;
82890;25/08/2000;0000;;26.8;;8.1;;
82890;25/08/2000;1200;0;;18.7;;;
82890;26/08/2000;0000;;26.8;;10.4;83.75;
82890;26/08/2000;1200;1.3;;18.5;;;
82890;27/08/2000;0000;;27.3;;8.1;;
82890;27/08/2000;1200;0;;16.3;;;
82890;28/08/2000;0000;;28.4;;10.6;;
82890;28/08/2000;1200;0;;18.1;;;
82890;29/08/2000;0000;;30.8;;10.9;;
82890;29/08/2000;1200;0;;18.2;;;
82890;30/08/2000;0000;;29;;10.5;;
82890;30/08/2000;1200;0;;17.5;;;
82890;31/08/2000;0000;;28.3;;10.3;83.25;
82890;31/08/2000;1200;0;;16.4;;;
82890;01/09/2000;0000;;26;;1.1;85.25;
82890;01/09/2000;1200;0;;17;;;
82890;02/09/2000;0000;;27.4;;9.8;;
82890;02/09/2000;1200;0;;16;;;
82890;03/09/2000;0000;;29;;10.6;79.75;
82890;03/09/2000;1200;0;;16.6;;;
82890;04/09/2000;0000;;31;;10.9;77.75;
82890;04/09/2000;1200;0;;16.4;;;
82890;05/09/2000;0000;;30.2;;7.8;;
82890;05/09/2000;1200;0;;19.3;;;
82890;06/09/2000;0000;;24;;2.8;96.75;
82890;06/09/2000;1200;1.2;;19.8;;;
82890;07/09/2000;0000;;28.4;;6.4;89.75;
82890;07/09/2000;1200;0;;18.5;;;
82890;08/09/2000;0000;;26.4;;6.2;90.75;
82890;08/09/2000;1200;2.5;;18.8;;;
82890;09/09/2000;0000;;26.4;;7.7;88.75;
82890;09/09/2000;1200;0;;18.1;;;
82890;10/09/2000;0000;;27.4;;8.6;94.75;
82890;10/09/2000;1200;3.3;;19.1;;;
82890;11/09/2000;0000;;29.5;;8.6;85.25;
82890;11/09/2000;1200;0;;19.2;;;
82890;12/09/2000;0000;;29.4;;8.7;86.75;
82890;12/09/2000;1200;0;;19.8;;;
82890;13/09/2000;0000;;29.4;;10.3;77;
82890;13/09/2000;1200;0;;18.9;;;
82890;14/09/2000;0000;;27.6;;6.3;89;
82890;14/09/2000;1200;0;;19.1;;;
82890;15/09/2000;0000;;28.2;;7.2;84.75;
82890;15/09/2000;1200;3.2;;18.7;;;
82890;16/09/2000;0000;;26.8;;2.1;96.25;
82890;16/09/2000;1200;0.3;;19.1;;;
82890;17/09/2000;0000;;23.1;;0.3;;
82890;17/09/2000;1200;2.3;;19.1;;;
82890;18/09/2000;0000;;23;;0.6;95.25;
82890;18/09/2000;1200;6.5;;18.1;;;
82890;19/09/2000;0000;;27.2;;7.3;92;
82890;19/09/2000;1200;8.8;;18.1;;;
82890;20/09/2000;0000;;27.6;;10.5;87;
82890;20/09/2000;1200;3.8;;17.7;;;
82890;21/09/2000;0000;;26.8;;10.8;83.75;
82890;21/09/2000;1200;0;;17;;;
